#Types Before Cut: 11091
#Types After Cut: 9694
#Search Hits: 0
393	8	21.010	звук
394	8	21.010	иду
395	8	21.010	интересного
396	8	21.010	колесико
397	8	21.010	любишь
398	8	21.010	лёва
399	8	21.010	мамой
400	8	21.010	мемы
401	8	21.010	моих
402	8	21.010	надя
403	8	21.010	неудобно
404	8	21.010	никит
405	8	21.010	одиннадцать
406	8	21.010	поехал
407	8	21.010	прихожу
408	8	21.010	смотрел
409	8	21.010	смотрела
410	8	21.010	студентов
411	8	21.010	типо
412	8	21.010	умер
413	8	21.010	учился
414	8	21.010	учится
415	8	21.010	хе
416	8	21.010	эт
417	30	20.654	чего
418	13	20.579	бывает
419	13	20.579	говорила
420	19	20.374	павел
421	14	20.205	надеюсь
422	10	20.187	интересные
423	10	20.187	рассказывала
424	40	19.984	говорить
425	27	19.332	ей
426	11	18.980	будто
427	11	18.980	знаете
428	11	18.980	отец
429	11	18.980	пошел
430	19	18.802	хотел
431	7	18.384	бабушкой
432	7	18.384	боже
433	7	18.384	буквы
434	7	18.384	двери
435	7	18.384	детство
436	7	18.384	детьми
437	7	18.384	друзьями
438	7	18.384	ездить
439	7	18.384	ехали
440	7	18.384	живёт
441	7	18.384	забыла
442	7	18.384	задание
443	7	18.384	карл
444	7	18.384	квартиры
445	7	18.384	красивый
446	7	18.384	ненавижу
447	7	18.384	нету
448	7	18.384	ноль
449	7	18.384	одни
450	7	18.384	парень
451	7	18.384	понравилась
452	7	18.384	пошёл
453	7	18.384	пытаюсь
454	7	18.384	ребят
455	7	18.384	скажи
456	7	18.384	сорок
457	7	18.384	супер
458	7	18.384	троих
459	7	18.384	троллейбус
460	7	18.384	человечек
461	7	18.384	читаю
462	7	18.384	чё
463	12	18.383	делали
464	12	18.383	купить
465	12	18.383	семье
466	16	18.139	реально
467	16	18.139	уж
468	13	18.098	другую
469	13	18.098	специально
470	13	18.098	улице
471	9	17.761	брали
472	9	17.761	друзей
473	9	17.761	едем
474	9	17.761	жил
475	9	17.761	институте
476	9	17.761	историю
477	9	17.761	маленькая
478	9	17.761	мое
479	9	17.761	нечего
480	9	17.761	смеется
481	9	17.761	твоя
482	153	17.663	еще
483	17	16.744	разные
484	10	16.702	мной
485	10	16.702	написано
486	23	16.508	равно
487	78	16.492	больше
488	29	16.371	соответственно
489	25	16.362	лучше
490	11	16.221	посмотреть
491	11	16.221	скажем
492	11	16.221	считаю
493	19	16.038	говоря
494	12	16.027	друзья
495	13	16.004	языка
496	64	15.850	тогда
497	6	15.758	distinct
498	6	15.758	onion
499	6	15.758	part
500	6	15.758	автобус
501	6	15.758	автобусе
502	6	15.758	ам
503	6	15.758	антифриз
504	6	15.758	бабуля
505	6	15.758	бабушки
506	6	15.758	бешбармак
507	6	15.758	бутово
508	6	15.758	вау
509	6	15.758	верно
510	6	15.758	волосы
511	6	15.758	восемнадцать
512	6	15.758	выпускной
513	6	15.758	вышла
514	6	15.758	гончар
515	6	15.758	готовился
516	6	15.758	жигули
517	6	15.758	загрузили
518	6	15.758	запомнила
519	6	15.758	играли
520	6	15.758	идёт
521	6	15.758	книги
522	6	15.758	колесо
523	6	15.758	коллектив
524	6	15.758	кормила
525	6	15.758	красиво
526	6	15.758	культура
527	6	15.758	лагере
528	6	15.758	лингвистике
529	6	15.758	литературу
530	6	15.758	лук
531	6	15.758	любил
532	6	15.758	любимый
533	6	15.758	математике
534	6	15.758	мгм
535	6	15.758	мем
536	6	15.758	молодец
537	6	15.758	мужик
538	6	15.758	немец
539	6	15.758	ногой
540	6	15.758	обед
541	6	15.758	орешки
542	6	15.758	погрей
